comment_id,parent_youtube_comment_id,youtube_fan_id,content,archived,timestamp,video_title,total_comments,total_replies,responses,sec_comment,account_title,thumbnail_url
3424,,1905,"Hola, saludos soy de México, los amo ( ˘ ³˘)♥",false,1598485834000,Grim and Careless (Piano Version),1,0,0,,AsDeKkÜwÜ :3,https://yt3.ggpht.com/a/AATXAJzQFjnx_YcE0u1aBE3gcc0TKZScmd4LVcdAfQ=s48-c-k-c0xffffffff-no-rj-mo
4628,,2960,Singer sounds like the Witchcraft singer O-O,false,1541606190000,"The Blue Stones ""Be My Fire"" [Audio]",5,3,0,1540928873000,Ludwig H,https://yt3.ggpht.com/a/AATXAJwn58_HsXqc2MbQIh8ejt-ZX80JdD-2oVrwNEkG=s48-c-k-c0xffffffff-no-rj-mo
1051693,,656930,"This.  Fucking this.  

Creation and education.  Just imagine if more artists would pass along their genius without ego.  

Thank you. Much love from an old ass man who know so little.",false,1610368938000,Grim - The Blue Stones (Guitar Lesson),1,0,0,,loboytme,https://yt3.ggpht.com/ytc/AAUvwngvu2GGbD5ZdH3ySoNK4WgljVrdWOVPI7aW5A=s48-c-k-c0xffffffff-no-rj-mo
3527,,1984,"Oh my God, I've just learned that this video exists. I wanted to play Grim so badly since I first heard it and NOW I CAN. Thank you so much, I'm obsessed with that song, please keep do more and keep up the good work <3",true,1592603408000,Grim - The Blue Stones (Guitar Lesson),1,0,1,,Ten Infi,https://yt3.ggpht.com/a/AATXAJxWCMYBQ0WGqYaceHL2dd8Z2S_4V7DCKItDiA=s48-c-k-c0xffffffff-no-rj-mo
3883,,2306,Well done!,false,1574244483000,The Blue Stones - Shakin' Off the Rust [Official Music Video],2,0,0,1539023970000,Karen García,https://yt3.ggpht.com/a/AATXAJz8iZu1jMjUV0HEdx8lpjGjsNceiVfT94qlgEebbg=s48-c-k-c0xffffffff-no-rj-mo
3903,,2326,"0:45 to 1:15 This kinda reminds me an Oasis song.. But I forgot which one. If anyone sees the similarity with an Oasis song too, tell me!",false,1574221533000,The Blue Stones - Shakin' Off the Rust [Official Music Video],1,0,0,,Philippe,https://yt3.ggpht.com/a/AATXAJxgigiFrcNnD8H1sE8yaMI_VAL6SmFMxsndQKr09A=s48-c-k-c0xffffffff-no-rj-mo
5014,,3301,The beginning of this sounds like another song that I can't put my finger on and it is driving me insane someone please help,false,1545995036000,"The Blue Stones ""Black Holes (Solid Ground)"" [Official Lyric Video]",1,0,0,,Maria Nolan,https://yt3.ggpht.com/a/AATXAJwQik53o77EXgMi-3Tvn_Tbd14D_v-ymPjtrw=s48-c-k-c0xffffffff-no-rj-mo
4609,,2944,"Los amo mucho, vengan a México",false,1544747550000,"The Blue Stones ""Be My Fire"" [Audio]",2,0,0,1544747515000,Alejandra Alsina,https://yt3.ggpht.com/a/AATXAJznI2GzOz1lIXCglWDhhxYl8wjq2aOivq0n5OZemA=s48-c-k-c0xffffffff-no-rj-mo
6823,,4196,One day you guys will put out a bad song and prove y’all are human. Today is not that day. This is superb.,false,1599824478000,The Blue Stones - Let It Ride (Official Video - Live on Display),1,0,0,,Ron Griffith,https://yt3.ggpht.com/a/AATXAJzbowmlejYc7W7LtJz0kdizKJct26t4APxhcLrr=s48-c-k-c0xffffffff-no-rj-mo
5056,,3338,Not bad!,false,1541736895000,"The Blue Stones ""Black Holes (Solid Ground)"" [Official Lyric Video]",1,0,0,,K lee,https://yt3.ggpht.com/a/AATXAJy78Z8zUWUd7nV73sHfh9cQKKwhTTEAoJbvpA=s48-c-k-c0xffffffff-no-rj-mo
